s1,s2,s0,accuracy
25,10,25,0.381710526
15,10,23,0.381447368
10,15,23,0.380921053
15,5,23,0.380789474
15,15,23,0.379473684
5,15,23,0.379342105
20,25,25,0.378486842
15,25,25,0.378223684
20,10,30,0.377565789
25,20,25,0.377368421
25,25,25,0.377171053
25,15,25,0.376776316
5,25,25,0.376513158
25,20,38,0.376447368
25,5,25,0.376381579
15,20,30,0.376184211
20,20,30,0.376184211
20,10,20,0.375657895
10,10,10,0.375131579
10,15,30,0.374934211
25,25,38,0.374802632
20,5,30,0.374671053
20,15,20,0.374671053
10,20,30,0.374605263
5,25,38,0.374473684
10,5,10,0.374276316
10,25,38,0.374210526
25,10,38,0.374013158
5,5,10,0.373881579
5,20,30,0.37375
25,25,50,0.373552632
20,15,30,0.373486842
10,10,20,0.373421053
25,15,38,0.373289474
15,25,38,0.373223684
15,5,30,0.372828947
10,25,25,0.372302632
15,25,50,0.371973684
25,5,38,0.371973684
10,5,20,0.371907895
10,20,20,0.371644737
5,25,50,0.371315789
5,5,8,0.37125
15,10,30,0.370921053
20,25,38,0.370855263
25,15,50,0.370789474
20,5,20,0.370657895
25,20,50,0.370526316
5,10,10,0.370328947
20,20,20,0.370263158
15,20,20,0.370197368
25,10,50,0.370065789
5,20,20,0.369802632
25,5,50,0.369605263
5,15,30,0.369210526
15,15,30,0.369013158
5,5,5,0.367894737
20,20,40,0.367236842
5,10,20,0.366644737
15,20,40,0.366447368
20,25,50,0.366381579
10,25,50,0.366052632
15,10,15,0.365526316
20,10,40,0.365065789
10,10,15,0.364144737
20,5,40,0.363684211
10,15,15,0.363486842
5,15,15,0.363421053
5,20,40,0.363026316
20,15,40,0.362894737
10,20,40,0.361907895
5,10,15,0.361842105
15,15,15,0.361842105
15,5,15,0.361447368
10,5,15,0.360921053
