s1,s2,s0,accuracy
21,9,37,0.894
21,6,37,0.89
21,18,37,0.89
21,21,37,0.89
21,3,37,0.888
6,21,37,0.886
21,12,37,0.886
3,21,37,0.884
12,21,37,0.884
21,15,37,0.882
21,6,27,0.88
18,21,37,0.88
9,18,27,0.876
9,21,37,0.876
12,24,36,0.874
18,18,27,0.874
21,18,27,0.874
21,24,48,0.874
24,6,48,0.874
24,15,48,0.874
3,6,9,0.872
6,15,27,0.872
12,15,27,0.872
18,21,27,0.872
24,9,48,0.872
3,21,21,0.87
6,12,15,0.87
9,21,21,0.87
12,24,48,0.87
15,3,27,0.87
24,3,48,0.87
24,21,48,0.87
24,24,48,0.87
15,21,37,0.87
3,15,27,0.868
6,12,21,0.868
6,21,21,0.868
6,21,27,0.868
9,18,36,0.868
12,9,15,0.868
12,18,36,0.868
15,9,27,0.868
15,18,23,0.868
15,21,27,0.868
18,9,36,0.868
18,12,36,0.868
18,15,27,0.868
24,18,36,0.868
3,15,15,0.866
6,18,36,0.866
9,12,21,0.866
12,12,21,0.866
12,18,23,0.866
15,6,27,0.866
15,12,27,0.866
18,18,36,0.866
21,3,27,0.866
24,18,30,0.866
3,21,27,0.864
3,24,48,0.864
9,15,15,0.864
9,15,27,0.864
12,3,21,0.864
15,12,23,0.864
15,15,23,0.864
18,3,36,0.864
18,6,23,0.864
18,6,36,0.864
21,12,27,0.864
24,18,48,0.864
12,21,21,0.864
15,6,23,0.864
3,9,9,0.862
3,18,23,0.862
6,18,23,0.862
12,9,21,0.862
15,9,23,0.862
15,15,27,0.862
18,18,23,0.862
21,24,36,0.862
24,3,36,0.862
6,24,36,0.862
12,18,27,0.862
24,12,48,0.862
3,12,15,0.86
3,15,23,0.86
3,18,36,0.86
6,15,15,0.86
6,24,48,0.86
9,12,15,0.86
9,24,36,0.86
12,3,15,0.86
12,15,23,0.86
15,3,15,0.86
15,21,21,0.86
18,9,23,0.86
18,9,27,0.86
18,12,23,0.86
18,15,36,0.86
18,24,48,0.86
21,15,27,0.86
21,21,27,0.86
24,15,36,0.86
24,21,36,0.86
3,24,36,0.858
9,24,24,0.858
12,6,21,0.858
15,9,15,0.858
15,15,15,0.858
15,18,27,0.858
15,24,48,0.858
18,15,23,0.858
21,12,21,0.858
15,15,19,0.858
6,6,9,0.856
9,21,27,0.856
12,9,24,0.856
12,12,15,0.856
12,24,24,0.856
15,18,36,0.856
15,24,36,0.856
18,3,23,0.856
21,15,21,0.856
24,6,24,0.856
24,6,36,0.856
24,9,36,0.856
24,24,36,0.856
3,12,21,0.856
18,24,24,0.856
9,12,24,0.854
9,15,23,0.854
9,24,48,0.854
12,21,27,0.854
15,3,23,0.854
15,6,15,0.854
15,12,15,0.854
24,24,30,0.854
3,24,24,0.854
9,6,16,0.854
9,24,30,0.854
12,6,15,0.854
12,15,30,0.854
21,6,21,0.854
3,6,12,0.852
3,9,16,0.852
6,15,23,0.852
6,18,27,0.852
9,9,16,0.852
12,6,24,0.852
15,3,30,0.852
15,15,30,0.852
18,6,27,0.852
18,21,21,0.852
21,3,21,0.852
21,24,24,0.852
24,15,24,0.852
24,18,24,0.852
3,9,14,0.85
3,12,24,0.85
3,15,19,0.85
3,18,27,0.85
6,3,8,0.85
6,18,18,0.85
9,18,23,0.85
18,3,27,0.85
18,24,36,0.85
21,9,27,0.85
21,24,30,0.85
24,12,36,0.85
3,3,3,0.848
3,6,8,0.848
6,9,16,0.848
6,15,19,0.848
6,24,24,0.848
6,24,42,0.848
12,15,19,0.848
15,9,19,0.848
21,3,42,0.848
24,3,42,0.848
24,9,24,0.848
24,24,24,0.848
9,21,42,0.848
3,21,42,0.846
6,12,24,0.846
9,3,14,0.846
15,6,30,0.846
15,9,30,0.846
24,21,30,0.846
3,24,42,0.846
9,3,16,0.846
12,21,42,0.846
15,24,24,0.846
21,21,21,0.846
24,3,24,0.846
24,21,24,0.846
3,15,30,0.844
3,18,18,0.844
3,24,30,0.844
6,3,11,0.844
6,9,9,0.844
6,15,30,0.844
6,21,42,0.844
9,24,42,0.844
12,15,15,0.844
12,24,30,0.844
15,12,30,0.844
15,18,18,0.844
15,21,42,0.844
21,18,21,0.844
24,6,42,0.844
24,15,30,0.844
3,9,12,0.842
6,9,14,0.842
9,12,18,0.842
12,12,24,0.842
12,18,18,0.842
15,6,19,0.842
18,3,18,0.842
21,9,42,0.842
21,15,42,0.842
21,18,42,0.842
21,24,42,0.842
24,6,30,0.842
24,9,30,0.842
3,3,5,0.84
3,12,12,0.84
6,6,12,0.84
9,9,14,0.84
9,15,30,0.84
18,9,18,0.84
18,12,27,0.84
21,6,42,0.84
21,21,42,0.84
24,9,42,0.84
24,12,24,0.84
24,12,30,0.84
24,15,42,0.84
3,9,18,0.838
6,3,9,0.838
6,6,8,0.838
6,24,30,0.838
9,6,18,0.838
9,18,18,0.838
12,3,18,0.838
12,12,18,0.838
18,21,42,0.838
18,24,42,0.838
21,12,42,0.838
21,15,32,0.838
24,21,42,0.838
6,3,12,0.838
24,12,42,0.838
3,12,18,0.836
3,21,32,0.836
6,9,12,0.836
6,9,18,0.836
9,3,18,0.836
9,6,9,0.836
9,9,18,0.836
9,15,19,0.836
12,6,18,0.836
15,24,30,0.836
15,24,42,0.836
21,3,32,0.836
24,3,30,0.836
24,18,42,0.836
3,6,11,0.834
6,12,18,0.834
9,6,14,0.834
12,3,24,0.834
12,9,18,0.834
18,24,30,0.834
6,6,11,0.832
6,12,12,0.832
9,6,12,0.832
9,12,12,0.832
12,12,12,0.832
12,24,42,0.832
15,12,19,0.832
18,12,18,0.832
18,18,18,0.832
21,9,21,0.832
15,18,32,0.83
18,3,32,0.83
18,15,18,0.83
24,24,42,0.83
6,18,32,0.828
12,9,12,0.828
12,21,32,0.828
15,3,19,0.828
18,6,18,0.828
18,15,32,0.828
21,6,32,0.828
9,9,12,0.826
18,12,32,0.826
21,18,32,0.826
9,3,9,0.822
