s1,s2,s0,accuracy
10,15,23,0.375657895
20,25,38,0.375592105
25,15,38,0.374539474
15,15,30,0.374342105
25,5,38,0.374342105
5,15,23,0.374078947
5,10,20,0.373881579
5,15,30,0.373815789
15,5,23,0.37375
10,25,38,0.373684211
25,20,38,0.373486842
15,10,30,0.373421053
10,25,25,0.373355263
5,25,25,0.373289474
10,15,30,0.373289474
15,10,23,0.373289474
15,20,20,0.373289474
20,15,20,0.373223684
25,25,25,0.373157895
15,25,38,0.372960526
20,5,30,0.372828947
20,20,20,0.372697368
20,10,30,0.3725
20,5,20,0.372236842
15,5,30,0.372236842
25,5,25,0.372171053
15,25,25,0.371973684
25,25,38,0.371776316
15,20,30,0.371710526
10,5,20,0.371513158
20,10,20,0.371513158
10,20,30,0.371381579
25,10,38,0.371381579
25,15,25,0.371052632
5,20,30,0.370986842
10,10,20,0.370986842
20,20,30,0.370789474
25,20,25,0.370789474
20,25,25,0.370657895
20,15,30,0.370394737
5,25,38,0.370197368
15,15,23,0.370131579
5,20,20,0.370131579
25,10,25,0.369934211
10,20,20,0.369736842
10,25,50,0.369276316
25,10,50,0.368815789
5,5,5,0.368552632
20,25,50,0.368026316
25,15,50,0.367894737
25,20,50,0.367631579
25,25,50,0.3675
5,5,8,0.367236842
25,5,50,0.367039474
15,25,50,0.366710526
10,15,15,0.365592105
5,15,15,0.365
5,25,50,0.364605263
20,20,40,0.364473684
5,10,10,0.364210526
10,10,10,0.364210526
10,5,10,0.363947368
20,10,40,0.363618421
15,20,40,0.363355263
5,5,10,0.363355263
5,20,40,0.363157895
20,5,40,0.362960526
5,10,15,0.362631579
15,5,15,0.362565789
10,20,40,0.362236842
20,15,40,0.361381579
15,10,15,0.361118421
10,10,15,0.360986842
10,5,15,0.360197368
15,15,15,0.359342105
