s1,s2,s0,accuracy
15,15,23,0.376447368
5,15,23,0.375855263
10,15,23,0.375526316
15,20,20,0.374802632
20,20,20,0.374736842
25,5,25,0.374539474
20,15,20,0.374473684
15,5,23,0.374144737
5,10,20,0.373815789
25,15,25,0.373684211
20,10,20,0.373026316
10,10,20,0.372960526
15,15,30,0.372828947
25,25,25,0.372302632
25,20,25,0.372236842
25,5,38,0.372171053
15,10,30,0.372171053
15,25,25,0.372039474
15,20,30,0.371973684
25,10,25,0.371907895
20,20,30,0.371644737
15,25,38,0.371578947
25,25,38,0.371513158
15,5,30,0.371315789
5,15,30,0.37125
5,25,25,0.37125
10,25,25,0.371184211
10,5,20,0.371118421
5,20,30,0.371052632
10,20,20,0.371052632
20,5,20,0.370986842
20,25,25,0.370921053
25,20,38,0.370657895
20,10,30,0.370592105
25,15,38,0.370460526
20,25,38,0.370394737
20,15,30,0.370263158
5,20,20,0.370197368
20,5,30,0.370131579
25,10,38,0.369473684
10,5,10,0.369407895
5,25,38,0.369144737
10,20,30,0.369013158
10,25,38,0.368947368
15,10,23,0.368881579
10,15,30,0.368421053
5,5,10,0.366776316
5,10,15,0.366644737
20,25,50,0.366578947
10,10,10,0.366447368
25,5,50,0.365986842
25,10,50,0.365657895
5,10,10,0.365592105
5,5,8,0.364473684
10,25,50,0.364473684
20,5,40,0.364407895
25,15,50,0.364144737
5,25,50,0.364078947
10,5,15,0.364013158
15,10,15,0.363618421
15,5,15,0.363421053
25,20,50,0.363355263
25,25,50,0.362697368
5,20,40,0.362171053
10,15,15,0.362171053
20,10,40,0.362105263
15,25,50,0.362039474
20,15,40,0.361973684
5,5,5,0.361842105
15,15,15,0.361644737
10,20,40,0.360986842
20,20,40,0.360986842
10,10,15,0.360921053
15,20,40,0.360855263
5,15,15,0.357368421
