s1,s2,s0,accuracy
3,21,37,0.884
21,18,37,0.884
6,21,37,0.878
9,24,48,0.876
15,21,37,0.874
18,21,37,0.874
21,6,37,0.874
21,15,37,0.874
21,21,37,0.872
3,24,48,0.87
21,24,48,0.87
24,9,48,0.87
3,15,27,0.868
15,24,48,0.868
24,24,48,0.868
9,21,37,0.868
24,18,48,0.868
3,9,9,0.866
6,24,48,0.866
12,21,37,0.866
12,24,48,0.866
18,9,23,0.866
18,24,48,0.866
21,3,37,0.866
21,12,37,0.866
24,3,48,0.866
3,18,23,0.864
6,3,9,0.864
12,6,15,0.864
24,12,48,0.864
24,21,48,0.864
21,9,37,0.864
6,15,27,0.862
6,24,36,0.862
24,15,48,0.862
3,24,36,0.862
12,15,27,0.862
12,9,21,0.86
15,15,27,0.86
18,9,27,0.86
18,18,23,0.86
18,24,36,0.86
3,21,27,0.86
12,21,27,0.86
18,15,23,0.86
18,21,27,0.86
21,15,27,0.86
15,18,23,0.858
3,15,15,0.858
9,3,14,0.858
9,15,15,0.858
9,15,27,0.858
9,18,27,0.858
9,21,27,0.858
15,3,23,0.858
15,18,27,0.858
21,24,36,0.858
24,6,48,0.858
24,24,36,0.858
3,18,36,0.856
6,18,23,0.856
12,18,23,0.856
12,18,36,0.856
15,9,27,0.856
15,21,21,0.856
18,12,27,0.856
18,15,36,0.856
15,12,27,0.856
3,12,21,0.854
6,9,9,0.854
6,18,27,0.854
12,12,21,0.854
12,21,21,0.854
18,12,23,0.854
18,15,27,0.854
21,9,27,0.854
21,12,21,0.854
21,18,27,0.854
24,12,36,0.854
24,18,36,0.854
6,21,27,0.854
12,24,36,0.854
18,3,27,0.854
18,6,27,0.854
6,15,23,0.852
6,18,36,0.852
9,18,23,0.852
9,18,36,0.852
12,15,23,0.852
15,12,23,0.852
15,15,23,0.852
21,3,27,0.852
21,21,27,0.852
24,21,42,0.852
6,3,8,0.852
6,12,15,0.852
9,3,16,0.852
9,9,14,0.852
9,12,15,0.852
9,15,23,0.852
9,24,36,0.852
12,3,21,0.852
15,6,23,0.852
15,21,27,0.852
18,3,23,0.852
18,21,21,0.852
21,6,27,0.852
3,21,21,0.85
6,9,16,0.85
3,18,27,0.85
6,12,21,0.85
9,6,14,0.85
12,3,15,0.85
12,15,15,0.85
12,18,27,0.85
15,24,36,0.85
18,18,36,0.85
21,15,21,0.85
21,18,42,0.85
21,21,42,0.85
24,6,36,0.85
24,9,36,0.85
3,24,42,0.848
6,15,15,0.848
12,21,42,0.848
21,9,21,0.848
21,9,42,0.848
21,12,27,0.848
24,6,42,0.848
15,3,27,0.848
3,9,14,0.846
3,9,16,0.846
6,24,42,0.846
9,3,9,0.846
9,24,42,0.846
18,6,36,0.846
18,18,27,0.846
21,3,21,0.846
21,6,21,0.846
21,15,42,0.846
21,18,21,0.846
21,21,21,0.846
21,24,42,0.846
24,21,36,0.846
9,12,21,0.846
3,3,5,0.844
15,9,15,0.844
24,9,42,0.844
24,15,36,0.844
24,24,42,0.844
3,12,15,0.844
6,6,9,0.844
9,21,21,0.844
12,12,15,0.844
12,24,42,0.844
15,6,27,0.844
15,15,15,0.844
15,24,42,0.844
18,9,36,0.844
18,12,36,0.844
18,21,42,0.844
21,6,42,0.844
24,3,36,0.844
24,3,42,0.844
18,3,36,0.842
3,6,11,0.842
3,15,23,0.842
6,12,24,0.842
9,6,16,0.842
12,6,21,0.842
12,9,15,0.842
15,3,19,0.842
15,6,15,0.842
18,24,24,0.842
24,15,42,0.842
3,21,42,0.84
6,21,42,0.84
9,9,9,0.84
9,21,42,0.84
12,12,24,0.84
15,3,15,0.84
15,9,23,0.84
15,21,42,0.84
24,12,42,0.84
24,18,24,0.84
6,9,14,0.838
6,24,24,0.838
18,6,23,0.838
21,12,42,0.838
24,9,24,0.838
24,15,24,0.838
15,12,15,0.838
18,24,42,0.838
12,18,32,0.836
21,3,42,0.836
15,6,19,0.836
15,18,36,0.836
15,24,24,0.836
24,21,24,0.836
9,9,16,0.834
3,3,3,0.834
9,18,32,0.834
21,24,24,0.834
24,12,24,0.834
24,18,42,0.834
3,9,18,0.832
3,12,12,0.832
3,12,18,0.832
3,15,19,0.832
6,9,18,0.832
6,21,21,0.832
9,6,9,0.832
9,12,24,0.832
12,3,18,0.832
12,3,24,0.832
12,9,24,0.832
12,24,24,0.832
18,3,18,0.832
3,24,24,0.83
6,6,11,0.83
9,3,18,0.83
9,9,18,0.83
12,3,12,0.83
15,6,30,0.83
21,15,32,0.83
21,18,32,0.83
21,21,32,0.83
3,6,8,0.828
3,6,9,0.828
3,18,18,0.828
3,21,32,0.828
6,3,11,0.828
6,6,8,0.828
12,15,30,0.828
12,18,18,0.828
18,3,32,0.828
18,15,18,0.828
18,18,32,0.828
6,12,18,0.826
9,6,18,0.826
24,6,24,0.826
3,12,24,0.826
6,15,19,0.826
6,15,30,0.826
6,21,32,0.826
9,18,18,0.826
12,6,24,0.826
15,9,19,0.826
15,21,32,0.826
18,12,18,0.826
18,18,18,0.826
12,9,18,0.824
9,12,18,0.824
9,24,24,0.824
15,3,30,0.824
15,15,19,0.824
18,6,32,0.824
24,6,30,0.824
24,24,30,0.824
6,9,12,0.822
6,12,12,0.822
6,18,32,0.822
6,24,30,0.822
9,12,12,0.822
12,6,18,0.822
18,6,18,0.822
18,12,32,0.822
18,15,32,0.822
21,24,30,0.822
24,18,30,0.822
18,21,32,0.822
21,12,32,0.822
24,3,24,0.822
3,24,30,0.82
15,12,30,0.82
15,18,18,0.82
15,18,32,0.82
24,21,30,0.82
21,3,32,0.818
9,15,19,0.818
12,15,19,0.818
24,9,30,0.818
3,6,12,0.816
6,18,18,0.816
9,9,12,0.816
9,15,30,0.816
15,9,30,0.816
15,24,30,0.816
18,9,18,0.816
24,3,30,0.816
24,24,24,0.816
6,3,12,0.814
9,21,32,0.814
12,12,18,0.814
18,24,30,0.814
21,9,32,0.814
24,12,30,0.814
3,15,30,0.812
9,6,12,0.812
15,15,30,0.812
12,24,30,0.812
3,9,12,0.81
9,3,12,0.81
21,6,32,0.81
12,9,12,0.808
12,12,12,0.808
12,21,32,0.808
18,9,32,0.808
3,3,6,0.806
3,3,6,0.806
9,24,30,0.806
15,12,19,0.806
24,15,30,0.806
12,6,12,0.804
3,18,32,0.804
3,3,4,0.8
3,6,6,0.798
6,6,12,0.796
6,6,6,0.794
6,3,6,0.782
