s2,s0,accuracy
9,36,0.877777778
18,36,0.869444444
3,36,0.869444444
15,36,0.866666667
24,36,0.863888889
18,36,0.863888889
6,36,0.863888889
6,36,0.861111111
24,36,0.858333333
18,36,0.858333333
21,32,0.855555556
18,36,0.855555556
3,36,0.855555556
15,36,0.855555556
12,36,0.855555556
24,36,0.855555556
21,32,0.852777778
24,36,0.852777778
24,36,0.852777778
24,36,0.85
9,36,0.85
3,32,0.85
18,36,0.847222222
18,32,0.847222222
18,36,0.847222222
12,32,0.847222222
12,36,0.847222222
15,32,0.847222222
21,36,0.847222222
24,24,0.844444444
24,36,0.844444444
3,32,0.844444444
18,36,0.844444444
18,32,0.841666667
21,32,0.841666667
9,32,0.841666667
3,24,0.841666667
12,24,0.838888889
21,32,0.838888889
24,36,0.838888889
15,32,0.838888889
18,18,0.836111111
3,14,0.836111111
12,18,0.836111111
18,32,0.836111111
9,24,0.836111111
3,5,0.833333333
15,19,0.833333333
18,32,0.833333333
15,19,0.833333333
6,18,0.833333333
12,24,0.833333333
15,27,0.833333333
12,24,0.833333333
24,24,0.833333333
18,27,0.830555556
3,27,0.830555556
6,32,0.830555556
21,32,0.830555556
24,24,0.830555556
12,32,0.830555556
6,24,0.830555556
12,18,0.827777778
3,18,0.827777778
21,27,0.827777778
6,19,0.827777778
3,27,0.827777778
9,27,0.827777778
9,32,0.827777778
12,24,0.827777778
9,18,0.825
15,27,0.825
21,27,0.825
24,42,0.825
18,18,0.825
3,24,0.825
6,24,0.825
12,19,0.825
18,27,0.825
24,24,0.825
12,27,0.825
6,32,0.825
18,32,0.825
21,32,0.825
9,42,0.825
18,27,0.822222222
24,24,0.822222222
6,9,0.822222222
3,16,0.822222222
9,18,0.822222222
3,19,0.822222222
9,30,0.822222222
15,27,0.822222222
18,32,0.822222222
21,27,0.822222222
6,27,0.822222222
6,42,0.822222222
9,48,0.822222222
18,42,0.822222222
21,24,0.822222222
24,24,0.822222222
15,30,0.819444444
24,48,0.819444444
9,16,0.819444444
24,48,0.819444444
9,18,0.819444444
12,18,0.819444444
15,27,0.819444444
18,18,0.819444444
18,27,0.819444444
6,18,0.819444444
18,32,0.819444444
3,42,0.819444444
9,27,0.819444444
9,37,0.819444444
12,42,0.819444444
24,42,0.819444444
21,42,0.816666667
9,18,0.816666667
15,27,0.816666667
18,18,0.816666667
6,14,0.816666667
6,18,0.816666667
15,19,0.816666667
24,42,0.816666667
9,19,0.816666667
18,18,0.816666667
21,27,0.816666667
15,18,0.816666667
15,27,0.816666667
18,42,0.816666667
21,42,0.816666667
24,24,0.816666667
6,48,0.816666667
15,42,0.816666667
24,42,0.816666667
24,42,0.813888889
12,24,0.813888889
21,42,0.813888889
9,16,0.813888889
15,19,0.813888889
24,24,0.813888889
24,42,0.813888889
3,18,0.813888889
24,48,0.813888889
6,27,0.813888889
15,19,0.813888889
9,18,0.813888889
21,42,0.813888889
24,48,0.813888889
3,27,0.813888889
9,42,0.813888889
15,27,0.813888889
15,37,0.813888889
3,42,0.813888889
12,42,0.813888889
6,9,0.811111111
9,9,0.811111111
