s1,s2,s0,accuracy
24,3,36,0.8750 
24,6,36,0.8722 
9,18,36,0.8667 
9,24,36,0.8667 
12,24,36,0.8667 
24,18,36,0.8667 
18,6,36,0.8639 
18,9,36,0.8639 
24,12,36,0.8611 
24,15,36,0.8611 
12,18,36,0.8583 
15,18,32,0.8583 
15,18,36,0.8583 
18,15,36,0.8583 
21,24,36,0.8583 
24,9,36,0.8583 
6,24,24,0.8556 
18,3,36,0.8556 
3,18,36,0.8528 
3,24,36,0.8528 
6,24,36,0.8528 
18,12,36,0.8528 
18,18,36,0.8528 
3,18,32,0.8500 
6,21,32,0.8500 
12,6,24,0.8500 
21,15,32,0.8500 
21,21,32,0.8500 
24,24,36,0.8500 
9,18,32,0.8472 
12,3,24,0.8472 
15,24,36,0.8472 
18,9,32,0.8472 
18,24,36,0.8472 
6,18,36,0.8444 
12,21,32,0.8444 
9,21,32,0.8417 
12,18,32,0.8417 
21,12,32,0.8417 
21,18,32,0.8417 
24,21,36,0.8417 
3,24,24,0.8389 
6,18,18,0.8389 
6,18,32,0.8389 
18,18,32,0.8389 
21,9,32,0.8389 
3,15,19,0.8361 
3,21,27,0.8361 
6,9,18,0.8361 
18,3,32,0.8361 
18,15,32,0.8361 
21,6,32,0.8361 
24,6,24,0.8361 
24,18,24,0.8361 
3,12,24,0.8333 
3,21,32,0.8333 
9,6,14,0.8333 
18,12,32,0.8333 
24,3,24,0.8333 
24,9,24,0.8333 
3,9,16,0.8306 
9,15,19,0.8306 
12,3,18,0.8306 
12,9,18,0.8306 
15,21,32,0.8306 
3,18,18,0.8278 
3,18,27,0.8278 
6,12,24,0.8278 
12,9,24,0.8278 
12,12,24,0.8278 
15,3,19,0.8278 
15,6,27,0.8278 
15,24,24,0.8278 
18,15,18,0.8278 
21,3,32,0.8278 
24,15,24,0.8278 
24,21,24,0.8278 
3,12,18,0.8250 
3,15,27,0.8250 
3,21,42,0.8250 
9,3,18,0.8250 
9,6,16,0.8250 
9,21,27,0.8250 
9,24,24,0.8250 
12,15,19,0.8250 
15,21,42,0.8250 
18,21,27,0.8250 
18,24,24,0.8250 
21,3,42,0.8250 
21,24,24,0.8250 
3,24,42,0.8222 
6,24,42,0.8222 
9,9,16,0.8222 
9,9,18,0.8222 
12,6,18,0.8222 
12,24,24,0.8222 
15,15,19,0.8222 
18,6,18,0.8222 
24,12,24,0.8222 
24,12,48,0.8222 
24,24,24,0.8222 
6,6,8,0.8194 
6,6,9,0.8194 
6,15,19,0.8194 
9,3,14,0.8194 
9,6,18,0.8194 
12,15,27,0.8194 
12,24,42,0.8194 
18,6,32,0.8194 
18,9,18,0.8194 
18,12,18,0.8194 
18,12,27,0.8194 
18,21,32,0.8194 
21,6,42,0.8194 
24,6,42,0.8194 
3,3,5,0.8167 
6,3,6,0.8167 
6,3,8,0.8167 
6,9,9,0.8167 
6,15,27,0.8167 
9,12,18,0.8167 
9,12,24,0.8167 
15,9,27,0.8167 
18,3,18,0.8167 
18,24,48,0.8167 
21,18,42,0.8167 
24,3,42,0.8167 
24,21,42,0.8167 
3,6,8,0.8139 
3,9,9,0.8139 
3,15,30,0.8139 
6,3,9,0.8139 
6,6,6,0.8139 
6,21,27,0.8139 
9,3,16,0.8139 
12,18,18,0.8139 
12,21,27,0.8139 
15,12,19,0.8139 
15,18,27,0.8139 
15,24,42,0.8139 
21,3,27,0.8139 
21,9,42,0.8139 
21,15,42,0.8139 
21,21,27,0.8139 
24,3,48,0.8139 
24,21,48,0.8139 
24,24,42,0.8139 
3,3,3,0.8111 
3,9,18,0.8111 
6,9,16,0.8111 
6,24,30,0.8111 
9,18,27,0.8111 
12,12,18,0.8111 
15,6,19,0.8111 
15,9,19,0.8111 
15,18,18,0.8111 
15,21,27,0.8111 
18,21,42,0.8111 
21,6,27,0.8111 
21,21,42,0.8111 
24,15,48,0.8111 
3,6,6,0.8083 
3,21,37,0.8083 
6,12,18,0.8083 
9,3,9,0.8083 
9,9,9,0.8083 
9,12,21,0.8083 
9,15,27,0.8083 
9,18,18,0.8083 
9,24,42,0.8083 
12,9,15,0.8083 
12,18,27,0.8083 
12,21,42,0.8083 
15,3,30,0.8083 
15,15,27,0.8083 
18,6,27,0.8083 
18,9,27,0.8083 
18,18,18,0.8083 
18,18,27,0.8083 
21,6,37,0.8083 
21,15,27,0.8083 
21,18,27,0.8083 
21,24,42,0.8083 
24,3,30,0.8083 
24,6,30,0.8083 
24,9,48,0.8083 
24,12,42,0.8083 
24,15,42,0.8083 
24,18,42,0.8083 
3,3,4,0.8056 
3,3,6,0.8056 
3,3,6,0.8056 
3,9,14,0.8056 
6,9,14,0.8056 
6,18,27,0.8056 
9,15,30,0.8056 
9,21,21,0.8056 
9,21,42,0.8056 
9,24,30,0.8056 
9,24,48,0.8056 
12,24,48,0.8056 
15,12,27,0.8056 
18,3,27,0.8056 
18,24,42,0.8056 
21,12,27,0.8056 
21,12,42,0.8056 
12,21,37,0.8028 
15,3,27,0.8028 
15,18,23,0.8028 
15,21,37,0.8028 
18,15,27,0.8028 
21,21,37,0.8028 
24,6,48,0.8028 
3,6,9,0.8000 
3,12,21,0.8000 
6,12,12,0.8000 
9,6,9,0.8000 
9,18,23,0.8000 
12,12,21,0.8000 
21,9,27,0.8000 
21,12,21,0.8000 
21,18,21,0.8000 
21,24,48,0.8000 
24,12,30,0.8000 
24,24,48,0.8000 
6,3,11,0.8000 
6,12,15,0.8000 
9,9,14,0.8000 
9,12,15,0.8000 
15,6,15,0.8000 
15,9,23,0.8000 
3,6,11,0.7972 
3,15,15,0.7972 
3,24,30,0.7972 
6,15,15,0.7972 
6,15,23,0.7972 
6,21,37,0.7972 
9,9,12,0.7972 
9,15,15,0.7972 
9,21,37,0.7972 
15,3,15,0.7972 
15,15,23,0.7972 
18,6,23,0.7972 
21,9,37,0.7972 
21,15,21,0.7972 
24,9,30,0.7972 
24,18,30,0.7972 
24,18,48,0.7972 
3,18,23,0.7944 
12,21,21,0.7944 
12,24,30,0.7944 
15,9,30,0.7944 
15,12,15,0.7944 
18,9,23,0.7944 
21,6,21,0.7944 
3,12,15,0.7917 
3,21,21,0.7917 
3,24,48,0.7917 
6,6,12,0.7917 
6,24,48,0.7917 
12,3,21,0.7917 
12,6,12,0.7917 
12,15,15,0.7917 
15,12,30,0.7917 
18,12,23,0.7917 
18,21,21,0.7917 
18,21,37,0.7917 
21,18,37,0.7917 
24,9,42,0.7917 
24,24,30,0.7917 
12,9,21,0.7889 
18,24,30,0.7889 
21,9,21,0.7889 
21,15,37,0.7889 
6,15,30,0.7889 
12,6,21,0.7889 
12,12,12,0.7889 
15,15,15,0.7889 
15,24,48,0.7889 
3,6,12,0.7861 
6,3,12,0.7861 
6,9,12,0.7861 
6,12,21,0.7861 
12,6,15,0.7861 
12,9,12,0.7861 
12,15,30,0.7861 
12,18,23,0.7861 
15,3,23,0.7861 
15,21,21,0.7861 
18,15,23,0.7861 
21,12,37,0.7861 
21,21,21,0.7861 
3,15,23,0.7833 
6,18,23,0.7833 
6,21,21,0.7833 
12,12,15,0.7833 
15,9,15,0.7833 
18,18,23,0.7833 
3,9,12,0.7806 
6,21,42,0.7806 
9,15,23,0.7806 
12,3,12,0.7806 
12,3,15,0.7806 
15,6,23,0.7806 
15,6,30,0.7806 
15,12,23,0.7806 
15,15,30,0.7806 
21,3,21,0.7806 
21,3,37,0.7806 
9,12,12,0.7778 
15,24,30,0.7778 
3,12,12,0.7750 
9,6,12,0.7750 
24,21,30,0.7750 
12,15,23,0.7722 
18,3,23,0.7722 
9,3,12,0.7694 
21,24,30,0.7694 
6,6,11,0.7583 
24,15,30,0.7556 
